t,o,h,l,c,v
1727740800,63293.9,63577.4,62973.5,63507.8,8545943
1727744400,63505.7,63610,63380.8,63437.6,4492138
1727748000,63436,63437.1,63151,63416.7,3338024
1727751600,63420,63715,63402.8,63687.2,4892421
1727755200,63687.2,63828.7,63615.2,63826.1,3729534
1727758800,63827.4,63870,63636.1,63714.3,1918479
1727762400,63714.2,64063.1,63709,63990.9,4760241
1727766000,63991.2,64088,63873.1,64003.9,3685629
1727769600,64003.9,64050,63769.5,63902.9,2428413
1727773200,63902.9,64058,63819.1,63822.7,2290472
1727776800,63822.6,63913.1,63685,63884.5,2912080
1727780400,63884.4,63959,63686,63706.8,2398239
1727784000,63706.8,63791,63538.6,63643.8,3588507
1727787600,63643.8,63671.9,62500.4,62845.9,21505253
1727791200,62845.9,63082.9,62400.1,62584.7,22769436
1727794800,62584.8,62790,61774.3,62605.9,31523481
1727798400,62605.6,62768,61860,62440.2,18455485
1727802000,62440.1,62440.1,61050.1,62126.4,32342812
1727805600,62129.6,62410.9,61830.3,61961.9,8843017
1727809200,61961.8,62071,61497.2,61730.1,7828151
1727812800,61730.3,61741,60128.3,60779.3,30712352
1727816400,60775.6,61188.6,60621,61106.5,6850873
1727820000,61106.5,61115.2,60575.7,60741.6,6594689
1727823600,60742.9,61008.4,60617.5,60780,4421275
1727827200,60777.3,61189.2,60701.1,61010.9,5714284
1727830800,61010.9,61552.5,60964.5,61490.8,4944815
1727834400,61490.8,61791.3,61400.1,61749.3,5110380
1727838000,61749.3,61841.2,61627.4,61704.8,4520038
1727841600,61704.9,61711,61404.6,61460.6,4608564
1727845200,61460.6,61582.1,61316.5,61454.7,3221352
1727848800,61459,61749.9,61318.6,61662.6,4031787
1727852400,61662.7,61921,61547.4,61693,4106029
1727856000,61693.1,61876,61568.1,61760.4,2897914
1727859600,61758.7,61780,61103.7,61244.5,6994517
1727863200,61244,61525.4,61128.7,61162.5,4686293
1727866800,61162.6,61352.7,60824,61135.1,7049115
1727870400,61135.2,61193,60669,60778.2,7747956
1727874000,60776.9,61442.6,60501,61307.5,18078834
1727877600,61307.5,61670.8,61050,61054.8,12986671
1727881200,61055.5,61888,61025.8,61832.5,11488004
1727884800,61830.5,62353.9,61742.5,61762.9,12043126
1727888400,61764.3,61800,61202.6,61604.8,7880272
1727892000,61600.2,61660.8,60737.6,60737.6,9564044
1727895600,60737.5,60901.7,59943,60165.3,19513684
1727899200,60163.3,60970,60100.1,60886.8,10588525
1727902800,60888,60924,60622.1,60800.4,4447422
1727906400,60800.5,60832.8,60379.2,60828.3,6175295
1727910000,60828.2,60841.4,60580,60623.8,2790553
1727913600,60623.7,61081.6,60506.2,60963,6303738
1727917200,60962.9,61161.3,60889.7,60999.3,4360509
1727920800,60999.3,61252.7,60956,61156.9,3274280
1727924400,61155.8,61442,61057.8,61436.8,4910783
1727928000,61436.9,61456,61239.4,61293.1,2485704
1727931600,61293.1,61335.6,61075.4,61150,3576807
1727935200,61150.1,61385,61077.2,61300,3084299
1727938800,61300,61390,60780.7,60893.9,5790138
1727942400,60893.9,60946,60125.2,60328.4,13874059
1727946000,60326.8,60747.5,60105,60693.4,7279774
1727949600,60691.8,61006.7,60617.2,60997.3,4718361
1727953200,60997.2,61041.3,60563.6,60727.8,5945586
1727956800,60727.8,60738.1,60290.1,60440.6,7422455
1727960400,60440.6,60571.4,59820,60347,19440900
1727964000,60345.1,60866.8,60134,60147.2,18387064
1727967600,60150.9,60655,60005.7,60602.8,10511491
1727971200,60601.1,60750.2,60050,60147.8,8073458
1727974800,60147.7,60691.9,59900,60597,8492468
1727978400,60596.7,60830,60506,60684.4,3221864
1727982000,60684.3,61029.5,60507.4,60994,3396999
1727985600,60994.1,61066,60626,60741.6,3019382
1727989200,60742.2,60924.4,60573.1,60774.5,2316153
1727992800,60774.6,60949.2,60676.1,60860.4,1953069
1727996400,60860.4,60949.8,60664.6,60720.1,1936921
1728000000,60720.2,60779.8,60424.7,60469.3,3213595
1728003600,60467.2,61232.8,60451.2,61181.6,6354733
1728007200,61181.6,61244.3,60900.4,60998.8,3101256
1728010800,60998.9,61037,60852,60919,1766719
1728014400,60919,61170.8,60894.8,60966.1,3302559
1728018000,60968.5,61210,60941.9,61191.3,3081595
1728021600,61191.4,61315.2,61056,61088,3808495
1728025200,61085.1,61472,61030,61403,4836350
1728028800,61403,61627.9,61296.3,61410.2,5645770
1728032400,61410.3,61556.9,61265.7,61302.5,3316900
1728036000,61301.6,61411.1,61235.3,61253,2894570
1728039600,61253,61449.4,61245,61420,3279276
1728043200,61420,61898,61172.2,61886.5,15631326
1728046800,61886.4,61980,61443.2,61540.6,11708774
1728050400,61540.7,61546.2,60760,61213,15459760
1728054000,61212.9,61842.9,61195.4,61842.9,11188558
1728057600,61843,62250,61602.4,62199.8,9386208
1728061200,62199.7,62299.8,61785.7,61943.9,6246335
1728064800,61944.2,62323.5,61863,62309.5,4370800
1728068400,62310.3,62441.2,62197.5,62329,5426828
1728072000,62329.9,62454,62117.9,62361.5,3347600
1728075600,62365.8,62421.6,62221.2,62230.5,900121
1728079200,62230.5,62309.9,62151.7,62173.7,2288589
1728082800,62173.7,62174.9,61928.5,62050.8,2804521
1728086400,62049.7,62175.7,62003.9,62134.3,1840562
1728090000,62133.2,62169.3,61950.1,62039.6,3060692
1728093600,62039.6,62042.6,61751.2,61780,3104762
