t,o,h,l,c,v
1727740800,0.11413,0.11585,0.11338,0.11566,2432091
1727744400,0.1157,0.11679,0.11548,0.11642,709894
1727748000,0.1164,0.11675,0.11528,0.11672,805968
1727751600,0.11666,0.11772,0.11654,0.1176,965036
1727755200,0.11766,0.1184,0.11726,0.11829,692293
1727758800,0.11829,0.11836,0.1176,0.11784,393744
1727762400,0.11781,0.11887,0.11774,0.11871,929922
1727766000,0.11871,0.11901,0.11817,0.11856,450747
1727769600,0.11855,0.11873,0.11779,0.11798,758788
1727773200,0.11799,0.11856,0.11793,0.1181,457427
1727776800,0.11809,0.11871,0.1178,0.1187,799512
1727780400,0.1187,0.11935,0.11801,0.11807,749551
1727784000,0.11807,0.11854,0.11727,0.11755,1075931
1727787600,0.11756,0.11762,0.11347,0.11478,2420976
1727791200,0.11478,0.11556,0.1112,0.11167,3072220
1727794800,0.11162,0.11205,0.10751,0.11058,13818507
1727798400,0.11056,0.11137,0.10753,0.10916,2319415
1727802000,0.10915,0.10915,0.10245,0.10777,6015892
1727805600,0.10774,0.10886,0.10677,0.10775,1536384
1727809200,0.10777,0.10777,0.10568,0.10586,1034981
1727812800,0.10588,0.10672,0.10375,0.10642,1750351
1727816400,0.10642,0.10771,0.10582,0.10752,789333
1727820000,0.10751,0.10752,0.10591,0.10646,521718
1727823600,0.1065,0.10731,0.10618,0.10677,528627
1727827200,0.10675,0.10834,0.10627,0.10742,1575875
1727830800,0.10741,0.10835,0.10719,0.1081,971215
1727834400,0.10807,0.10847,0.10777,0.10822,506893
1727838000,0.10823,0.10877,0.10801,0.10829,466149
1727841600,0.10827,0.10828,0.10734,0.10767,548124
1727845200,0.10767,0.10814,0.10725,0.10762,624654
1727848800,0.10762,0.10924,0.10701,0.10893,1279479
1727852400,0.10892,0.10949,0.10823,0.10834,952646
1727856000,0.10834,0.10889,0.10785,0.10837,707886
1727859600,0.10835,0.1085,0.106,0.10631,1477813
1727863200,0.10626,0.10729,0.10583,0.10584,1477327
1727866800,0.10587,0.10679,0.1051,0.10617,1618142
1727870400,0.10619,0.10628,0.10427,0.10457,2834031
1727874000,0.10456,0.10631,0.10347,0.1059,3652788
1727877600,0.10587,0.10668,0.10503,0.10506,3803731
1727881200,0.10507,0.1067,0.10482,0.10614,2350360
1727884800,0.1061,0.10758,0.10591,0.10615,1394984
1727888400,0.1061,0.10628,0.10492,0.10569,993087
1727892000,0.10574,0.10586,0.10328,0.10374,2022505
1727895600,0.10378,0.10467,0.10213,0.10421,1932208
1727899200,0.1042,0.10591,0.10374,0.10541,845585
