t,o,h,l,c,v
1727740800,2601.25,2622.8,2590.3,2618.1,1746755
1727744400,2617.7,2628.05,2615.15,2620.8,1238825
1727748000,2620.6,2620.6,2607,2618.8,577225
1727751600,2618.85,2632,2616.25,2628.85,653156
1727755200,2628.9,2646.95,2626.1,2642.8,1393418
1727758800,2643.1,2644.2,2634.85,2638.5,492353
1727762400,2638.45,2657.6,2638.2,2654.85,1024394
1727766000,2654.9,2656.1,2641.7,2643.85,1031325
1727769600,2643.85,2645.6,2633.5,2639.4,589442
1727773200,2639.35,2644.1,2633.45,2634.25,586213
1727776800,2634.2,2638.95,2630.85,2637.1,486833
1727780400,2637.05,2638.6,2627.6,2627.95,445583
1727784000,2627.9,2632.7,2619,2621,1118443
1727787600,2621.05,2622.05,2566.05,2580.25,4187876
1727791200,2580.35,2591,2535.05,2549.2,5478101
1727794800,2549.4,2551.45,2476.35,2523.85,7521914
1727798400,2523.85,2530.9,2482.15,2509,4075609
1727802000,2508.8,2511.3,2420.5,2505.1,6858040
1727805600,2505.05,2518.8,2490.65,2500.65,1819191
1727809200,2500.7,2505.65,2485.05,2487.7,1219982
1727812800,2487.55,2491.7,2411,2450.2,5615366
1727816400,2450.5,2473.5,2443.5,2470.4,1314400
1727820000,2470.45,2470.8,2444.25,2452.85,896203
1727823600,2452.9,2455.75,2438.6,2446.6,757166
1727827200,2446.55,2467.2,2440.9,2462.7,1244104
1727830800,2462.75,2482.05,2459.5,2479.9,1124953
1727834400,2479.85,2498.25,2474.05,2491.5,983922
1727838000,2491.55,2495.6,2482,2488.15,682623
1727841600,2488.15,2489,2473.6,2485.2,790865
1727845200,2485.25,2490.75,2471.1,2476.7,459252
1727848800,2476.65,2488.6,2464.95,2483.95,921351
1727852400,2484.4,2491.85,2474,2480.6,685670
1727856000,2480.5,2485.8,2473.4,2479.35,385930
1727859600,2479.2,2480.85,2445.25,2451.6,1519933
1727863200,2451.3,2470.25,2447.1,2449.65,1018032
1727866800,2449.8,2464.6,2440.5,2453.95,1139578
1727870400,2453.9,2460.2,2431.35,2434.5,1738673
1727874000,2434.5,2455.6,2417.15,2449.1,3085505
1727877600,2449.45,2458.35,2430.6,2433.4,1741769
1727881200,2433.4,2463.9,2432.4,2459.15,1054298
1727884800,2459.1,2477.5,2451.3,2451.7,1183345
1727888400,2451.75,2453,2432.15,2445.75,991625
1727892000,2445.75,2446.15,2387.1,2388.2,2742292
1727895600,2388.25,2398.25,2366.35,2370.35,2801797
1727899200,2370.4,2391.6,2358.55,2384.65,1944796
1727902800,2384.7,2385.95,2362.35,2377.65,872636
1727906400,2377.6,2381,2350.8,2380.95,1343923
1727910000,2380.95,2381.5,2359.05,2362.75,942417
1727913600,2362.7,2381.7,2351.65,2371.05,1677476
1727917200,2371.2,2391.75,2370.55,2383.15,1270467
1727920800,2383.3,2396.4,2380.35,2390.2,757263
1727924400,2390.25,2398.35,2383.5,2397.85,733800
1727928000,2397.9,2401.75,2390.25,2396.15,521522
1727931600,2396.15,2397.85,2379.35,2382.55,941677
1727935200,2382.4,2392.15,2378.15,2387.55,511749
1727938800,2387.6,2391.6,2358.45,2363.7,1206741
1727942400,2363.65,2366.4,2326.3,2336.4,3516328
1727946000,2336.3,2352.5,2317.5,2351.35,2062662
1727949600,2351.3,2368.1,2346.6,2367.35,1140440
1727953200,2367.15,2368.95,2346.1,2350.9,1152393
1727956800,2350.85,2356.5,2334.1,2350.7,1535340
1727960400,2350.8,2356.4,2323,2345.95,3028195
1727964000,2345.85,2364.95,2313.8,2316.7,3533182
1727967600,2316.65,2345.95,2308.3,2339.45,2588062
1727971200,2339.4,2342.9,2310.8,2323.95,1607184
1727974800,2324.2,2348,2315.1,2342.6,1177809
1727978400,2342.6,2350.5,2336.3,2342.75,497548
1727982000,2342.75,2353.3,2337,2352.05,439904
1727985600,2352.05,2353.55,2336.95,2340.85,540878
1727989200,2340.9,2352.7,2331.15,2349.05,425388
1727992800,2349.05,2353.75,2341.65,2350.9,372010
1727996400,2350.95,2356.55,2343.45,2348.4,462215
1728000000,2348.4,2351.45,2337.55,2338.85,578435
1728003600,2338.9,2377.75,2338.45,2376.25,1763621
1728007200,2376.25,2378.5,2365.4,2369.2,656350
1728010800,2369.25,2370.65,2359.9,2366.1,495568
1728014400,2366.05,2379.7,2364.45,2372.9,662500
1728018000,2372.95,2383.9,2370.95,2381.85,450266
1728021600,2382.05,2386.4,2373.1,2373.8,498718
1728025200,2373.75,2385.4,2369.85,2380.4,517745
1728028800,2380.4,2392.95,2376.65,2380.05,928711
1728032400,2380,2386.45,2373.4,2375.65,549393
1728036000,2375.6,2379,2372.8,2373.85,335887
1728039600,2374,2385.45,2373.05,2385.05,311421
1728043200,2384.85,2397.85,2373.4,2396.5,2264383
1728046800,2396,2399.25,2374.3,2377.5,1611222
