t,o,h,l,c,v
1727740800,0.6113,0.6201,0.6103,0.6198,153141
1727744400,0.6199,0.6215,0.6187,0.6215,95856
1727748000,0.6214,0.6226,0.6178,0.6223,104384
1727751600,0.6222,0.6248,0.6221,0.6228,69674
1727755200,0.623,0.6236,0.6192,0.6192,51974
1727758800,0.6193,0.6217,0.618,0.6213,40664
1727762400,0.6213,0.6234,0.6194,0.6232,55838
1727766000,0.6231,0.629,0.6204,0.6285,91399
1727769600,0.6281,0.6287,0.6255,0.6272,62514
1727773200,0.6271,0.6308,0.6271,0.63,93025
1727776800,0.63,0.6343,0.6296,0.6322,108918
1727780400,0.6325,0.6328,0.6285,0.6285,78605
1727784000,0.6285,0.63,0.6275,0.629,55024
1727787600,0.6293,0.6293,0.6092,0.6179,471407
1727791200,0.6179,0.6228,0.6054,0.6102,365241
1727794800,0.6102,0.6127,0.5924,0.6118,424189
1727798400,0.6115,0.6157,0.5988,0.606,305991
1727802000,0.6059,0.6059,0.5746,0.5964,900308
1727805600,0.5964,0.6205,0.5932,0.6204,541049
1727809200,0.6201,0.6271,0.6014,0.6096,1457234
1727812800,0.6101,0.6188,0.5985,0.6063,762879
1727816400,0.6061,0.6076,0.5873,0.6017,272576
1727820000,0.6014,0.6026,0.5909,0.5946,208477
1727823600,0.5948,0.5988,0.5921,0.5966,60354
1727827200,0.5965,0.6036,0.5941,0.6018,106986
1727830800,0.601,0.6066,0.6005,0.606,72499
1727834400,0.6059,0.6059,0.6008,0.6044,60679
1727838000,0.6044,0.6049,0.6018,0.6023,40838
1727841600,0.6021,0.6046,0.5989,0.6037,108093
1727845200,0.6034,0.6039,0.5965,0.5982,73007
1727848800,0.5981,0.6016,0.5952,0.5987,94210
1727852400,0.5989,0.6035,0.5976,0.6001,72283
1727856000,0.6,0.6029,0.5986,0.6009,47623
1727859600,0.6009,0.6014,0.588,0.5891,179034
1727863200,0.5891,0.594,0.586,0.5891,127293
1727866800,0.5892,0.5909,0.5794,0.5854,251461
1727870400,0.5853,0.589,0.5802,0.5864,190068
1727874000,0.5865,0.5922,0.5752,0.5844,398030
1727877600,0.5844,0.5867,0.5799,0.5799,106181
1727881200,0.58,0.5869,0.5784,0.5841,128952
1727884800,0.5835,0.5894,0.5832,0.5834,178744
1727888400,0.5833,0.5851,0.5798,0.5814,75220
1727892000,0.5812,0.5815,0.5631,0.5687,338885
1727895600,0.5688,0.5759,0.5641,0.5747,254808
1727899200,0.5745,0.5777,0.5633,0.5703,394120
1727902800,0.5703,0.5736,0.5366,0.5407,779075
1727906400,0.5407,0.5466,0.5262,0.5445,840618
1727910000,0.5445,0.5474,0.5355,0.5381,195267
1727913600,0.538,0.538,0.5228,0.5317,499215
1727917200,0.5313,0.5368,0.5258,0.5336,164207
1727920800,0.5334,0.5439,0.532,0.5403,123115
